sr_episode_id,sr_audio_id,source_title,date,year,program_type,episode_url,mp3_url,length_seconds,audio_file_size_bytes,image_url,image_credit,short_summary
2550211,9669491,Georg ”Tuppen” Eliasson 1960,1960-06-13,1960,Sommar,https://www.sverigesradio.se/avsnitt/2550211,https://static-cdn.sr.se/laddahem/podradio/2025/02/sommar__vinter_i_p1_georg_tuppeneliasson_1960_20250310_1412313792.mp3,1386,22205410,https://static-cdn.sr.se/images/2071/ee2b7722-4cc6-411f-bb06-b69d19d9b9e4.jpg,Ulf Stråhle/SVT/SVT,Det äldsta programmet i Sommars arkiv! Radioprofilen Georg ”Tuppen” Eliasson spelar plattor och tar extra lätt på tillvaron i detta Sommarprat från 1960.
425278,5054491,Jörgen Cederberg 1960,1960-08-14,1960,Sommar,https://www.sverigesradio.se/avsnitt/425278,https://static-cdn.sr.se/laddahem/podradio/sommar_i_p1/1960/08/sommar_i_p1_19600814_1300_2e905ea.mp3,1567,25692188,https://static-cdn.sr.se/images/2071/3379361_2048_1152.jpg,,En av de stora radioprofilerna I sitt Sommarprogram från 1960 pratar han om väder och om att ta farväl och börja något nytt.
406238,5003325,Torsten Ehrenmark 1963,1963-06-27,1963,Sommar,https://www.sverigesradio.se/avsnitt/406238,https://static-cdn.sr.se/laddahem/podradio/sommar_i_p1/1963/06/sommar_i_p1_19630627_1300_2de886d.mp3,2321,37757158,https://static-cdn.sr.se/images/2071/475336b7-ed15-4ed7-b30b-b35b3cc76048.jpg,SVT Bild,"Kåsör, journalist, korrespondent, radiopratare och författare. I sitt Sommarprogram 1963 berättar Torsten Ehrenmark om sin rundresa i sommar-Frankrike med sin nya bil och om den enorma biltrafiken i Paris."
2554266,9669509,Per-Martin Hamberg 1964,1964-07-12,1964,Sommar,https://www.sverigesradio.se/avsnitt/2554266,https://static-cdn.sr.se/laddahem/podradio/2025/02/program_permartin_podd_1964_klippt_20250220_1406512403.mp3,2796,44747806,https://static-cdn.sr.se/images/2071/467f10d9-53e8-4fda-8abf-c6c136ee4b55.jpg,Bo-Aje Mellin/SVT/SVT,"Kompositören och radiomannen bakom låten om Pippi Långstrump. Om musik, karriären och om hur Sverige som första land fick höra om freden efter andra världskriget."
1782862,7959798,Torsten Ehrenmark 1965,1965-07-22,1965,Sommar,https://www.sverigesradio.se/avsnitt/1782862,https://static-cdn.sr.se/laddahem/podradio/sommar_i_p1/1965/07/sommar_i_p1_19650722_1300_611a866d.mp3,2868,45952098,https://static-cdn.sr.se/images/2071/95aca8a2-966a-41ef-81c6-370fdf474d27.jpg,,"Journalisten är nyss hemkommen från semestern i Paris, med hela 28 grader värme."
1913487,8252128,Torsten Ehrenmark 1966,1966-08-28,1966,Sommar,https://www.sverigesradio.se/avsnitt/1913487,https://static-cdn.sr.se/laddahem/podradio/2022/03/sommar__vinter_i_p1_torsten_ehrenmark_1966_20240909_1324107602.mp3,1619,25923616,https://static-cdn.sr.se/images/2071/95aca8a2-966a-41ef-81c6-370fdf474d27.jpg,,Kåsören och journalisten Torsten Ehrenmark är den sommarvärd som gjort flest sommarprogram. Ett svårslaget rekord på hela 50 program blev det totalt.
405701,5002229,Tage Danielsson 1967,1967-07-12,1967,Sommar,https://www.sverigesradio.se/avsnitt/405701,https://static-cdn.sr.se/laddahem/podradio/sommar_i_p1/1967/07/sommar_i_p1_19670712_1300_3495b08.mp3,2101,34236118,https://static-cdn.sr.se/images/2071/3335761_2048_1152.jpg,,"FÖRFATTARE, POET, REGISSÖR, SKÅDESPELARE. Tage tycker att det är svårt att hitta låtar då han inte får välja sådana där han själv eller släktingar är med i. Programmet innehåller en väderleksrapport."
425256,5274620,Elisabeth Söderström 1967,1967-08-15,1967,Sommar,https://www.sverigesradio.se/avsnitt/425256,https://static-cdn.sr.se/laddahem/podradio/sommar_i_p1/1967/08/sommar_i_p1_19670815_1300_364f9d9.mp3,3273,52508845,https://static-cdn.sr.se/images/2071/3379340_2048_1152.jpg,,"Operasångerska och konsertsångerska I programmet från 1967 berättar hon om händelser under hennes sångarkarriär, om evigheten, anemoner och Mumindalen."
425195,5291907,Bo Setterlind 1968,1968-07-22,1968,Sommar,https://www.sverigesradio.se/avsnitt/425195,https://static-cdn.sr.se/laddahem/podradio/sommar_i_p1/1968/07/sommar_i_p1_19680722_1300_392a003.mp3,3294,52843168,https://static-cdn.sr.se/images/2071/3379310_2048_1152.jpg,,"Författare och poet I hans första Sommarprogram pratar han om de verkligt radikala, om kärlek och revolution, om rasism och skvalmusik."
425087,5291960,Åke Falck 1968,1968-08-04,1968,Sommar,https://www.sverigesradio.se/avsnitt/425087,https://static-cdn.sr.se/laddahem/podradio/sommar_i_p1/1968/08/sommar__vinter_i_p1_ke_falck_1968_20250221_1102171386.mp3,2771,44483795,https://static-cdn.sr.se/images/2071/3378857_2048_1152.jpg,,"Regissör och manusförfattare I sitt Sommarprogram berättar Åke Falck om den försommarkväll i Milano, då varken operahuset La Scala eller tidningen Corriere de la sera blev ockuperat av studenter, och om hans inblandning i denna förvirrade historia."
