wikidata_id,speaker,sr_names,episode_count,episode_ids,ages_at_episodes,wikidata_label,wikidata_description,wikipedia_url,gender,gender_id,birth_date,death_date,citizenships,citizenship_ids,occupations,occupation_ids
Q102415985,Torgny Svensson,"[""Torgny Svensson""]",1,[1348199],[40],,,,man,Q6581097,1945,2020,[],[],"[""universitetslärare"",""farmakolog""]","[""Q1622272"",""Q2114605""]"
Q1033656,Hans Alfredson,"[""Hans Alfredson""]",2,"[366689,421644]","[78,58]",,,https://sv.wikipedia.org/wiki/Hans_Alfredson,man,Q6581097,1931-06-28,2017-09-10,"[""Sverige""]","[""Q34""]","[""författare"",""skådespelare"",""manusförfattare"",""kompositör"",""komiker"",""serietecknare"",""sångtextförfattare"",""filmregissör"",""regissör""]","[""Q36180"",""Q33999"",""Q28389"",""Q36834"",""Q245068"",""Q1114448"",""Q822146"",""Q2526255"",""Q3455803""]"
Q104051241,Joel Adolphson,"[""Joel Adolphson""]",1,[761168],[24],,,https://sv.wikipedia.org/wiki/Joel_Adolphson,man,Q6581097,1992-03-26,,"[""Sverige""]","[""Q34""]","[""skådespelare"",""manusförfattare"",""komiker"",""exekutiv producent"",""regissör"",""barnboksförfattare"",""filmklippare"",""youtuber""]","[""Q33999"",""Q28389"",""Q245068"",""Q1053574"",""Q3455803"",""Q4853732"",""Q7042855"",""Q17125263""]"
Q10424735,Bahar Pars,"[""Bahar Pars""]",1,[921591],[38],,,https://sv.wikipedia.org/wiki/Bahar_Pars,kvinna,Q6581072,1979-03-28,,"[""Iran"",""Sverige""]","[""Q794"",""Q34""]","[""filmregissör"",""filmskådespelare"",""skådespelare""]","[""Q2526255"",""Q10800557"",""Q33999""]"
Q104454783,Ina Lundström,"[""Ina Lundström""]",1,[2181386],[40],,,https://sv.wikipedia.org/wiki/Ina_Lundstr%C3%B6m,kvinna,Q6581072,1983-05-11,,"[""Sverige""]","[""Q34""]","[""radioprogramledare"",""poddradioproducent""]","[""Q2722764"",""Q15077007""]"
Q104889855,Amanda Jansson,"[""Amanda Jansson""]",1,[2815509],[36],,,https://sv.wikipedia.org/wiki/Amanda_Jansson,kvinna,Q6581072,1990-04-26,,"[""Sverige""]","[""Q34""]","[""skådespelare""]","[""Q33999""]"
Q10495133,Filip Hammar,"[""Filip Hammar""]",2,"[216100,370788]","[38,32]",,,https://sv.wikipedia.org/wiki/Filip_Hammar,man,Q6581097,1975-03-26,,"[""Sverige""]","[""Q34""]","[""filmregissör"",""TV-programledare"",""manusförfattare""]","[""Q2526255"",""Q947873"",""Q28389""]"
Q10498737,Fredrik Wikingsson,"[""Fredrik Wikingsson""]",2,"[370788,387523]","[33,40]",,,https://sv.wikipedia.org/wiki/Fredrik_Wikingsson,man,Q6581097,1973-08-16,,"[""Sverige""]","[""Q34""]","[""journalist"",""filmregissör"",""TV-programledare"",""manusförfattare""]","[""Q1930187"",""Q2526255"",""Q947873"",""Q28389""]"
Q105064448,Maja Nilsson Lindelöf,"[""Maja Nilsson Lindelöf""]",1,[2181481],[29],,,https://sv.wikipedia.org/wiki/Maja_Nilsson_Lindel%C3%B6f,kvinna,Q6581072,1993-12-21,,[],[],"[""influerare""]","[""Q2906862""]"
Q10540015,Jesper Waldersten,"[""Jesper Waldersten""]",1,[1106373],[48],,,https://sv.wikipedia.org/wiki/Jesper_Waldersten,man,Q6581097,1969,,"[""Sverige""]","[""Q34""]","[""konstnär"",""illustratör""]","[""Q483501"",""Q644687""]"
Q10540960,José Luis Ramirez,"[""José Luis Ramirez""]",1,[2539688],[60],,,https://sv.wikipedia.org/wiki/Jos%C3%A9_Luis_Ramirez,man,Q6581097,1935,2024-12-25,"[""Spanien""]","[""Q29""]","[""läkare"",""filosof""]","[""Q39631"",""Q4964182""]"
Q10575340,Magnus Olsson,"[""Magnus Olsson""]",1,[390115],[53],,,https://sv.wikipedia.org/wiki/Magnus_Olsson_(havskappseglare),man,Q6581097,1949-01-04,2013-04-20,"[""Sverige""]","[""Q34""]","[""seglare""]","[""Q476246""]"
Q10583775,Michael Azar,"[""Michael Azar""]",1,[358471],[34],,,https://sv.wikipedia.org/wiki/Michael_Azar,man,Q6581097,1970,,"[""Sverige""]","[""Q34""]",[],[]
Q106193,Lars Ulrich,"[""Lars Ulrich""]",1,[743224],[52],,,https://sv.wikipedia.org/wiki/Lars_Ulrich,man,Q6581097,1963-12-26,,"[""Konungariket Danmark""]","[""Q756617""]","[""musiker"",""trumslagare"",""låtskrivare"",""kompositör""]","[""Q639669"",""Q386854"",""Q753110"",""Q36834""]"
Q106434785,Alexander Abdallah,"[""Alexander Abdallah""]",1,[1952985],[29],,,https://sv.wikipedia.org/wiki/Alexander_Abdallah,man,Q6581097,1993-04-30,,"[""Sverige""]","[""Q34""]","[""skådespelare""]","[""Q33999""]"
Q106720806,Robin Olovsson,"[""Robin Olovsson""]",1,[2578967],[39],,,https://sv.wikipedia.org/wiki/Robin_Olovsson,man,Q6581097,1985-10-16,,"[""Sverige""]","[""Q34""]","[""poddradioproducent"",""gymnasielärare""]","[""Q15077007"",""Q5758653""]"
Q10684159,Jögge Sundqvist,"[""Jögge Sundqvist""]",1,[586301],[56],,,https://sv.wikipedia.org/wiki/J%C3%B6gge_Sundqvist,man,Q6581097,1958-10-07,,"[""Sverige""]","[""Q34""]","[""konsthantverkare"",""författare"",""författare"",""tränare"",""träsnidare""]","[""Q11479517"",""Q36180"",""Q482980"",""Q3077353"",""Q6138343""]"
Q107136023,Diamant Salihu,"[""Diamant Salihu""]",1,[1952949],[38],,,https://sv.wikipedia.org/wiki/Diamant_Salihu,man,Q6581097,1983,,"[""Sverige""]","[""Q34""]","[""reporter"",""journalist""]","[""Q42909"",""Q1930187""]"
Q107315314,Hanna Wallensteen,"[""Hanna Wallensteen""]",1,[1732936],[50],,,https://sv.wikipedia.org/wiki/Hanna_Wallensteen,kvinna,Q6581072,1971-02-18,,"[""Sverige""]","[""Q34""]","[""psykolog""]","[""Q212980""]"
